kategori,hiragana,katakana,romaji,arti,tipe,catatan
"frase,verbphrase,variasi,variasi,variasi",がっこうをすます（れい21192）（れい22785）（れい25579）,,gakkou o shimasu-21192-22785-25579,melakukan (sopan) sekolah (var-21192) (var-22785) (var-25579),phrase,auto-pad
"frase,verbphrase,variasi",いすをくる（れい22930）,,isu o kuru-22930,datang kursi (var-22930),phrase,auto-pad
"frase,verbphrase",あしをみる,,ashi o miru,melihat kaki,phrase,
"frase,verbphrase,variasi",がっこうをいます（れい24797）,,gakkou o imasu-24797,ada (makhluk hidup) (sopan) sekolah (var-24797),phrase,auto-pad
"frase,verbphrase,variasi,variasi",あたまをかく（れい20450）（れい22668）,,atama o kaku-20450-22668,menulis kepala (var-20450) (var-22668),phrase,auto-pad
"kata benda,benda,variasi,variasi,variasi",おんがく（れい21113）（れい21768）（れい25724）,,ongaku-21113-21768-25724,musik (var-21113) (var-21768) (var-25724),noun,auto-pad
"frase,verbphrase,variasi",ほんをのむます（れい27917）,,hon o nomimasu-27917,minum (sopan) buku (var-27917),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",でんしゃをくます（れい20192）（れい21750）（れい22048）,,densha o kimasu-20192-21750-22048,datang (sopan) kereta (var-20192) (var-21750) (var-22048),phrase,auto-pad
"frase,verbphrase,variasi,variasi",おかあさんをいく（れい20783）（れい21301）,,okaasan o iku-20783-21301,pergi ibu (sopan) (var-20783) (var-21301),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",くるまをいます（れい20316）（れい23318）（れい24594）,,kuruma o imasu-20316-23318-24594,ada (makhluk hidup) (sopan) mobil (var-20316) (var-23318) (var-24594),phrase,auto-pad
"frase,verbphrase",パンをはなす,,pan o hanasu,berbicara roti,phrase,
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi,variasi",ははをねます（れい20065）（れい20069）（れい21095）（れい22357）（れい22982）（れい25875）,,haha o nemasu-20065-20069-21095-22357-22982-25875,tidur (sopan) ibu (saya) (var-20065) (var-20069) (var-21095) (var-22357) (var-22982) (var-25875),phrase,auto-pad
"frase,verbphrase,variasi",スマホをみます（れい20861）,,sumaho o mimasu-20861,melihat (sopan) smartphone (var-20861),phrase,auto-pad
"kata sifat,adjective",きれい,,kirei,bersih/indah,adjective,
"frase,verbphrase,variasi,variasi,variasi,variasi",いぬをいく（れい20122）（れい20794）（れい21100）（れい22073）,,inu o iku-20122-20794-21100-22073,pergi anjing (var-20122) (var-20794) (var-21100) (var-22073),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",ごはんをたべる（れい20611）（れい21928）（れい25752）,,gohan o taberu-20611-21928-25752,makan nasi (var-20611) (var-21928) (var-25752),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",パンをくます（れい20368）（れい24050）（れい28048）,,pan o kimasu-20368-24050-28048,datang (sopan) roti (var-20368) (var-24050) (var-28048),phrase,auto-pad
"frase,verbphrase,variasi,variasi",えいがをのむます（れい20123）（れい20298）,,eiga o nomimasu-20123-20298,minum (sopan) film (var-20123) (var-20298),phrase,auto-pad
"frase,verbphrase,variasi,variasi",いもうとをおきる（れい20729）（れい26318）,,imouto o okiru-20729-26318,bangun adik perempuan (var-20729) (var-26318),phrase,auto-pad
"frase,verbphrase,variasi,variasi",おかあさんをねる（れい20296）（れい20371）,,okaasan o neru-20296-20371,tidur ibu (sopan) (var-20296) (var-20371),phrase,auto-pad
"kata benda,benda,pertanyaan,variasi,variasi,variasi",パンはどこですか（れい23630）（れい24809）（れい25081）,,pan wa doko desu ka-23630-24809-25081,Di mana roti? (var-23630) (var-24809) (var-25081),question,auto-pad
"kata benda,benda,frase,like,variasi",くるまがすきです（れい22524）,,kuruma ga suki desu-22524,suka mobil (var-22524),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",てをよむます（れい20655）（れい21068）（れい27672）,,te o yomimasu-20655-21068-27672,membaca (sopan) tangan (var-20655) (var-21068) (var-27672),phrase,auto-pad
"kata benda,benda,variasi,variasi,variasi",て（れい22156）（れい24057）（れい27187）,,te-22156-24057-27187,tangan (var-22156) (var-24057) (var-27187),noun,auto-pad
"keluarga,variasi,variasi,variasi,variasi",あに（れい20307）（れい20573）（れい24134）（れい28946）,,ani-20307-20573-24134-28946,kakak laki-laki (saya) (var-20307) (var-20573) (var-24134) (var-28946),noun,auto-pad
"frase,verbphrase",えいがをあます,,eiga o arimasu,ada (benda) (sopan) film,phrase,
"kata benda,benda,pertanyaan,variasi",あしはどこですか（れい20651）,,ashi wa doko desu ka-20651,Di mana kaki? (var-20651),question,auto-pad
"frase,verbphrase,variasi,variasi",おとうさんをはなすます（れい20389）（れい20428）,,otousan o hanasimasu-20389-20428,berbicara (sopan) ayah (sopan) (var-20389) (var-20428),phrase,auto-pad
"frase,verbphrase,variasi,variasi",おんがくをする（れい21825）（れい24630）,,ongaku o suru-21825-24630,melakukan musik (var-21825) (var-24630),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",あしをあます（れい20042）（れい20160）（れい21133）（れい24708）,,ashi o arimasu-20042-20160-21133-24708,ada (benda) (sopan) kaki (var-20042) (var-20160) (var-21133) (var-24708),phrase,auto-pad
"kata benda,benda,frase,do,variasi",ねこをします（れい23646）,,neko o shimasu-23646,melakukan kucing (var-23646),phrase,auto-pad
"frase,verbphrase,variasi",いもうとをある（れい21091）,,imouto o aru-21091,ada (benda) adik perempuan (var-21091),phrase,auto-pad
"frase,verbphrase,variasi",じてんしゃをかくます（れい20749）,,jitensha o kakimasu-20749,menulis (sopan) sepeda (var-20749),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi",つくえをたべます（れい20014）（れい20072）（れい21064）（れい21208）（れい25715）,,tsukue o tabemasu-20014-20072-21064-21208-25715,makan (sopan) meja (var-20014) (var-20072) (var-21064) (var-21208) (var-25715),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",ちちをくる（れい23758）（れい25571）（れい26433）,,chichi o kuru-23758-25571-26433,datang ayah (saya) (var-23758) (var-25571) (var-26433),phrase,auto-pad
"frase,verbphrase",あしをはなすます,,ashi o hanasimasu,berbicara (sopan) kaki,phrase,
"frase,verbphrase,variasi,variasi,variasi",ははをねる（れい20359）（れい22787）（れい23544）,,haha o neru-20359-22787-23544,tidur ibu (saya) (var-20359) (var-22787) (var-23544),phrase,auto-pad
"frase,verbphrase,variasi,variasi",スマホをはなすます（れい20723）（れい25888）,,sumaho o hanasimasu-20723-25888,berbicara (sopan) smartphone (var-20723) (var-25888),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",ごはんをいくます（れい20914）（れい22256）（れい22634）,,gohan o ikimasu-20914-22256-22634,pergi (sopan) nasi (var-20914) (var-22256) (var-22634),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",いもうとをいる（れい20557）（れい20841）（れい21651）（れい23454）,,imouto o iru-20557-20841-21651-23454,ada (makhluk hidup) adik perempuan (var-20557) (var-20841) (var-21651) (var-23454),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",みずをみる（れい21879）（れい27337）（れい28612）（れい28681）,,mizu o miru-21879-27337-28612-28681,melihat air (var-21879) (var-27337) (var-28612) (var-28681),phrase,auto-pad
"frase,verbphrase,variasi",あにをいる（れい21185）,,ani o iru-21185,ada (makhluk hidup) kakak laki-laki (saya) (var-21185),phrase,auto-pad
"frase,verbphrase",コーヒーをおきる,,koohii o okiru,bangun kopi,phrase,
"frase,verbphrase,variasi,variasi,variasi,variasi",あしをのむます（れい21093）（れい22079）（れい23305）（れい24690）,,ashi o nomimasu-21093-22079-23305-24690,minum (sopan) kaki (var-21093) (var-22079) (var-23305) (var-24690),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",スマホをくる（れい22613）（れい23248）（れい23345）（れい24880）,,sumaho o kuru-22613-23248-23345-24880,datang smartphone (var-22613) (var-23248) (var-23345) (var-24880),phrase,auto-pad
"frase,verbphrase,variasi,variasi",いすをかく（れい21673）（れい26380）,,isu o kaku-21673-26380,menulis kursi (var-21673) (var-26380),phrase,auto-pad
"frase,verbphrase,variasi",ごはんをよむます（れい24239）,,gohan o yomimasu-24239,membaca (sopan) nasi (var-24239),phrase,auto-pad
"frase,verbphrase,variasi,variasi",あたまをみる（れい22945）（れい26531）,,atama o miru-22945-26531,melihat kepala (var-22945) (var-26531),phrase,auto-pad
"frase,verbphrase,variasi,variasi",くるまをいます（れい20316）（れい23318）,,kuruma o imasu-20316-23318,ada (makhluk hidup) (sopan) mobil (var-20316) (var-23318),phrase,auto-pad
"frase,verbphrase,variasi",いもうとをのむ（れい20283）,,imouto o nomu-20283,minum adik perempuan (var-20283),phrase,auto-pad
"frase,verbphrase,variasi",くるまをはなす（れい22703）,,kuruma o hanasu-22703,berbicara mobil (var-22703),phrase,auto-pad
"frase,verbphrase,variasi",えいがをのむ（れい22326）,,eiga o nomu-22326,minum film (var-22326),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",ごはんをたべる（れい21327）（れい24165）（れい26154）（れい27894）,,gohan o taberu-21327-24165-26154-27894,makan nasi (var-21327) (var-24165) (var-26154) (var-27894),phrase,auto-pad
"frase,verbphrase,variasi",いもうとをかくます（れい20507）,,imouto o kakimasu-20507,menulis (sopan) adik perempuan (var-20507),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi",ほんをいく（れい20770）（れい20816）（れい22999）（れい23893）（れい26141）,,hon o iku-20770-20816-22999-23893-26141,pergi buku (var-20770) (var-20816) (var-22999) (var-23893) (var-26141),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",いすをあます（れい20467）（れい21031）（れい21752）,,isu o arimasu-20467-21031-21752,ada (benda) (sopan) kursi (var-20467) (var-21031) (var-21752),phrase,auto-pad
"keluarga,frase,like,variasi,variasi,variasi,variasi,variasi",おかあさんがすきです（れい20350）（れい21028）（れい23085）（れい23136）（れい23642）,,okaasan ga suki desu-20350-21028-23085-23136-23642,suka ibu (sopan) (var-20350) (var-21028) (var-23085) (var-23136) (var-23642),phrase,auto-pad
"frase,verbphrase,variasi",ちちをいる（れい28978）,,chichi o iru-28978,ada (makhluk hidup) ayah (saya) (var-28978),phrase,auto-pad
"frase,verbphrase,variasi",がっこうをはなすます（れい21484）,,gakkou o hanasimasu-21484,berbicara (sopan) sekolah (var-21484),phrase,auto-pad
"frase,verbphrase",ねこをかく,,neko o kaku,menulis kucing,phrase,
"frase,verbphrase,variasi,variasi",いぬをする（れい20715）（れい22976）,,inu o suru-20715-22976,melakukan anjing (var-20715) (var-22976),phrase,auto-pad
"frase,verbphrase,variasi,variasi",へやをたべます（れい20326）（れい20917）,,heya o tabemasu-20326-20917,makan (sopan) kamar (var-20326) (var-20917),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",パンをおきる（れい20085）（れい21223）（れい21399）（れい22046）,,pan o okiru-20085-21223-21399-22046,bangun roti (var-20085) (var-21223) (var-21399) (var-22046),phrase,auto-pad
"frase,verbphrase,variasi,variasi",コーヒーをいる（れい21531）（れい26987）,,koohii o iru-21531-26987,ada (makhluk hidup) kopi (var-21531) (var-26987),phrase,auto-pad
"frase,verbphrase,variasi,variasi",てをおきる（れい20324）（れい21253）,,te o okiru-20324-21253,bangun tangan (var-20324) (var-21253),phrase,auto-pad
"kata benda,benda,variasi,variasi,variasi,variasi",コーヒー（れい20162）（れい20529）（れい22006）（れい24998）,コーヒー,koohii-20162-20529-22006-24998,kopi (var-20162) (var-20529) (var-22006) (var-24998),noun,auto-pad
"frase,verbphrase,variasi,variasi,variasi",ほんをあます（れい20996）（れい21765）（れい24536）,,hon o arimasu-20996-21765-24536,ada (benda) (sopan) buku (var-20996) (var-21765) (var-24536),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",ほんをおきます（れい22135）（れい22358）（れい22419）（れい25485）,,hon o okimasu-22135-22358-22419-25485,bangun (sopan) buku (var-22135) (var-22358) (var-22419) (var-25485),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi",てをすます（れい20452）（れい23307）（れい23801）（れい24280）（れい24842）,,te o shimasu-20452-23307-23801-24280-24842,melakukan (sopan) tangan (var-20452) (var-23307) (var-23801) (var-24280) (var-24842),phrase,auto-pad
"kata benda,benda,frase,like,variasi",へやがすきです（れい21965）,,heya ga suki desu-21965,suka kamar (var-21965),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi",みずをくる（れい20653）（れい20935）（れい21040）（れい21996）（れい24218）,,mizu o kuru-20653-20935-21040-21996-24218,datang air (var-20653) (var-20935) (var-21040) (var-21996) (var-24218),phrase,auto-pad
"frase,verbphrase,variasi,variasi",ははをたべる（れい20111）（れい21981）,,haha o taberu-20111-21981,makan ibu (saya) (var-20111) (var-21981),phrase,auto-pad
"frase,verbphrase,variasi,variasi",ごはんをたべます（れい20137）（れい21842）,,gohan o tabemasu-20137-21842,makan (sopan) nasi (var-20137) (var-21842),phrase,auto-pad
"frase,verbphrase,variasi",へやをかく（れい23676）,,heya o kaku-23676,menulis kamar (var-23676),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi,variasi",おとうさんをねます（れい20073）（れい20188）（れい20471）（れい22536）（れい25139）（れい27539）,,otousan o nemasu-20073-20188-20471-22536-25139-27539,tidur (sopan) ayah (sopan) (var-20073) (var-20188) (var-20471) (var-22536) (var-25139) (var-27539),phrase,auto-pad
"frase,verbphrase,variasi,variasi",コーヒーをくる（れい20008）（れい20930）,,koohii o kuru-20008-20930,datang kopi (var-20008) (var-20930),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",くるまをよむ（れい20758）（れい22460）（れい25423）（れい28010）,,kuruma o yomu-20758-22460-25423-28010,membaca mobil (var-20758) (var-22460) (var-25423) (var-28010),phrase,auto-pad
"kata benda,benda,frase,do,variasi,variasi",あたまをします（れい20002）（れい27256）,,atama o shimasu-20002-27256,melakukan kepala (var-20002) (var-27256),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",パンをのむ（れい20615）（れい21665）（れい24195）（れい26978）,,pan o nomu-20615-21665-24195-26978,minum roti (var-20615) (var-21665) (var-24195) (var-26978),phrase,auto-pad
"frase,verbphrase,variasi,variasi",つくえをすます（れい23133）（れい25975）,,tsukue o shimasu-23133-25975,melakukan (sopan) meja (var-23133) (var-25975),phrase,auto-pad
"frase,verbphrase,variasi,variasi",バスをある（れい21731）（れい23350）,,basu o aru-21731-23350,ada (benda) bus (var-21731) (var-23350),phrase,auto-pad
